unlocode,name,municipality,iso_country,lat,lon
ESAGP,Málaga,Málaga,ES,36.71667,-4.41667
ESAGU,Aguilas,Aguilas,ES,37.4,-1.58333
ESALA,Villarreal de Álava,Villarreal de Álava,ES,42.98333,-2.63333
ESALC,Alicante,Alicante,ES,38.3436365,-0.4881708
ESALG,Algeciras,Algeciras,ES,36.1311725,-5.4473991
ESALT,Algorta,Algorta,ES,43.35,-3.01667
ESALX,Almendricos,Almendricos,ES,37.46667,-1.78333
ESAMP,Ampuero,Ampuero,ES,43.35,-3.41667
ESAMX,Almorox,Almorox,ES,40.23333,-4.38333
ESARI,Arguineguin,Arguineguin,ES,27.7590753,-15.6813497
ESARN,Arenys de Mar,Arenys de Mar,ES,41.5797031,2.5491562
ESARZ,Allaríz,Allaríz,ES,42.18333,-7.8
ESAS8,Cabueñes,Cabueñes,ES,43.51667,-5.6
ESASL,Andosilla,Andosilla,ES,42.38333,-1.95
ESATO,El Astillero,El Astillero,ES,43.4,-3.81667
ESATQ,Ataquines,Ataquines,ES,41.18333,-4.8
ESAVS,Aviles,Aviles,ES,43.5554436,-5.9222466
ESAXO,A Baiuca,A Baiuca,ES,43.3,-8.5
ESAYA,Ayamonte,Ayamonte,ES,37.215797,-7.4060169
ESAYR,Ayora,Ayora,ES,39.06667,-1.05
ESB8C,Bacáicoa,Bacáicoa,ES,42.88333,-2.1
ESBAT,La Batlloria,La Batlloria,ES,41.71667,2.55
ESBBJ,Breña Baja,Breña Baja,ES,28.63333,-17.75
ESBCN,Barcelona,Barcelona,ES,41.3825802,2.177073
ESBDA,Benegida,Benegida,ES,39.06667,-0.55
ESBDF,Barbate,Barbate,ES,36.18333,-5.91667
